family,dimension,path,comparison,scope,maturity
balanced_fgw,symmetry,symmetric,general,pr,supported
balanced_fgw,symmetry,general,symmetric,pr,supported
balanced_fgw,regularization,exact,entropic,pr,supported
balanced_fgw,regularization,entropic,exact,pr,supported
balanced_fgw,sinkhorn,scaling,log,pr,supported
balanced_fgw,sinkhorn,log,scaling,pr,supported
balanced_fgw,sinkhorn,auto,log,pr,supported
balanced_fgw,precision,mixed,double,pr,supported
balanced_fgw,precision,double,strict_double,pr,supported
balanced_fgw,precision,strict_double,double,pr,supported
balanced_fgw,start,cold,warm,pr,supported
balanced_fgw,start,warm,cold,pr,supported
balanced_fgw,kernel,float,double,pr,supported
balanced_fgw,kernel,double,float,pr,supported
balanced_fgw,adapter,native,pot,pr,supported
balanced_fgw,adapter,pot,native,pr,supported
balanced_fgw,approximation,dense,lowrank,nightly,supported
partial_fgw,regularization,exact,entropic,pr,supported
partial_fgw,backend,cpp_transport,lpSolve,nightly,supported
partial_fgw,start,cold,warm,pr,supported
semirelaxed_fgw,backend,cpp,r,pr,supported
semirelaxed_fgw,symmetry,symmetric,general,pr,supported
fugw,precision,mixed,double,nightly,supported
fugw,start,cold,warm,pr,supported
ucoot,formulation,joint,independent,pr,supported
multialign,threading,serial,threaded,pr,supported
multialign,threading,threaded,serial,pr,supported
sampled_gw,approximation,tiny_budget,full_budget,pr,experimental
sampled_gw,input,dense,coordinates,nightly,experimental
sampled_gw,input,coordinates,graph,nightly,experimental
lowrank_gw,approximation,low_rank,full_rank,pr,experimental
